Citation,Site,tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Bennett Creek at Park Mills, Md.",0.101903996,0.0019,0.01695,,1.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Old Woman Creek,0.10627035,0.0019,0.01517,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"White River at Interior, SD",4.363636364,0.002,0.0005,,1.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Arikaree River at Haigler, NE",4.363636364,0.002,0.00025,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"South Fork Republican River near Benkleman, NE",1.767676768,0.002,0.00048,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.031425365,0.002,0.054,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Wyre,0.051515152,0.002,0.04,,1.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Little Otter Creek,1.212121212,0.002,0.0008,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mad River,0.070953437,0.002,0.0205,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.035203095,0.0021,0.047,,1.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.053588517,0.0021,0.057,,2.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Blackwood Creek at Culbertson, NE",165.4545455,0.0021,0.00002,,2.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Patuxent River near Unity, Md.",1.083172147,0.0021,0.00141,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Deer Creek at Rocks, Md.",0.093582888,0.0021,0.01904,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mad River,0.076211214,0.0021,0.01169,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Bokengehalas Creek,0.057427063,0.0021,0.01773,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Banas (at Abu Road Gujrat state) India,1.516422082,0.00217,0.00477,,5.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Potlach,0.028940568,0.0022,0.0645,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Valley,0.007588076,0.0022,0.123,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Trent,0.029568411,0.0023,0.033,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Willow Creek above Little Lake, Ontario, Canada",9.309090909,0.0024,0.00025,,1.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.029090909,0.0024,0.045,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Irfon A,0.044755245,0.0024,0.039,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Western Run at Western Run,0.441801189,0.0024,0.00428,,1.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Bear,0.011730205,0.0025,0.155,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Hayden Run,0.071469411,0.0025,0.0106,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),SF Clearwater Stites,0.014936091,0.0026,0.1055,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Beech Creek,0.173704702,0.0029,0.01113,,1.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"River Bollin at Castle Mill, UK (No: 00234; p. 69)",5.194805195,0.003,0.00042,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"South Loup River near Cumro, NE",16,0.003,0.00025,,2.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Republican River near Benkleman, NE",5.818181818,0.003,0.00025,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.034632035,0.0032,0.056,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Otter,0.023817119,0.0032,0.057,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Elk Ck Nr Drew, OR",0.138181818,0.00323,0.017,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.04,0.0033,0.07,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"McKenzie Creek near Caledonia, Ontario, Canada",4.945454545,0.0034,0.00025,,0.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.019067075,0.0035,0.089,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.060887949,0.0036,0.043,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),N Tyne,0.044055944,0.0036,0.104,,2.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.042577675,0.0037,0.079,,1.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Little Delaware River,0.117681671,0.004,0.0206,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Lemhi,0.019304153,0.0043,0.108,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Yashwantpur (at railway bridge A.P. state) India,2.161123429,0.0043,0.00205,,1.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Afon Lwyd,0.064,0.0044,0.075,,1.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Arrow,0.086474501,0.0045,0.041,,1.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Ceiriog 1-3,0.073751601,0.0048,0.071,,1.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Johnson,0.02507837,0.005,0.145,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Trail Run,0.165643574,0.0051,0.01866,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Glen,0.04001924,0.0052,0.063,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),SF Clearwater Elk,0.033021807,0.0053,0.107,,1.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.093506494,0.0054,0.042,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),MF Salmon,0.025396825,0.0055,0.1575,,1.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.140740741,0.0057,0.027,,1.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Eachaig,0.065356265,0.0057,0.074,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),NF Payette,0.025376344,0.0059,0.155,,1.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Basin Run at Liberty Grove, Md.",0.208094524,0.0059,0.01031,,0.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Bull Creek,0.259321661,0.0059,0.01241,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Cranberry Branch near Westminster, Md.",0.462121212,0.0061,0.004,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"San Francisco River near Reserve, New Mexico",6.981818182,0.0064,0.0005,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Alwen 1-5,0.025614637,0.0064,0.106,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Neff Run,0.124558468,0.0067,0.00978,,0.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Mill Creek,0.142979087,0.0067,0.0142,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),LF Payette 1,0.090666667,0.0068,0.05,,1.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),LF Payette 2,0.082424242,0.0068,0.05,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Gassy Ck Nr Nonpareil, OR",0.088383838,0.007,0.024,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Kent,0.075408957,0.0074,0.113,,1.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Lapwai,0.044848485,0.0074,0.07,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Etna Creek,0.12464793,0.0078,0.01517,,0.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),LF Payette McCall,0.162237762,0.0087,0.0325,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Tar Hollow Creek,0.286821067,0.0087,0.01103,,0.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Big 4 Hollow Creek,0.123197726,0.0091,0.01343,,0.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Squaw Rev,0.02931642,0.0104,0.1075,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Ceiriog 4-7,0.10864745,0.0105,0.082,,1.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.076923077,0.011,0.052,,0.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Reeds,0.032709181,0.0113,0.1675,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Slade Run near Glyndon, Md.",0.272131984,0.012,0.01069,,0.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Sandusky Creek,0.175504307,0.0123,0.01699,,0.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Alwen 5-9,0.048806651,0.013,0.113,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),E. Orange Bridge,0.305732484,0.0132,0.0157,,0.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Rookhope,0.102621723,0.0137,0.089,,1.1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Basin Creek,0.282828283,0.014,0.021,,0.7,
Trampush et al. (2014) (Wilkerson and Parker (2011)),,0.05015674,0.015,0.145,,0.8,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Wildhorse,0.073346228,0.0158,0.1175,,0.9,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Baisman Run at Broadmoor, Md.",0.511983617,0.016,0.00947,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Challis,0.070454545,0.0186,0.096,,0.6,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Thompson,0.02055336,0.0195,0.115,,0.2,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Napias,0.035367372,0.0213,0.1095,,0.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Meadow,0.103703704,0.0231,0.135,,1,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Blackmare,0.093939394,0.031,0.1,,0.5,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Big Knife Creek,0.353982301,0.033,0.0226,,0.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Bruno Cr near Clayton, ID",0.279545455,0.0369,0.024,,0.3,
Trampush et al. (2014) (Wilkerson and Parker (2011)),Burke Gulch,2.02020202,0.05,0.006,,0.4,
Trampush et al. (2014) (Wilkerson and Parker (2011)),"Holman Cr nr Clayton, ID",1.016617791,0.052,0.0155,,0.5,
"Trampush et al. (2014) (Lisle and Hilton, 1999; Seidl and Dietrich, 1992)","Elder Creek nr Branscomb, CA",0.105910165,0.022,0.141,,1.12,
"Trampush et al. (2014) (Faustini, 2000)","Lookout Creek near Blue River, OR",0.119191919,0.015,0.09,,1.18,
"Trampush et al. (2014) (Bent and Waite, 2013)","Squannacook River near West Groton, MA",0.023438782,0.0046,0.11855,,0.997,
"Trampush et al. (2014) (Bent and Waite, 2013)","Charles River at Dover, MA",0.032360387,0.0008,0.01813,,1.21,
"Trampush et al. (2014) (Bent and Waite, 2013)","Old Swamp River near South Weymouth, MA",0.022258879,0.0046,0.05001,,0.399,
"Trampush et al. (2014) (Bent and Waite, 2013)","Wading River near Norton, MA",0.035150534,0.0024,0.02964,,0.716,
"Trampush et al. (2014) (Bent and Waite, 2013)","Segreganset River at Dighton, MA",0.046050117,0.013,0.10169,,0.594,
"Trampush et al. (2014) (Bent and Waite, 2013)","Nipmuc River near Harrisville, RI",0.06673347,0.0021,0.01244,,0.652,
"Trampush et al. (2014) (Bent and Waite, 2013)","Branch River at Foresdale, RI",0.021158956,0.0022,0.06588,,1.045,
"Trampush et al. (2014) (Bent and Waite, 2013)","Priest Brook near Winchendon, MA",0.041140135,0.002,0.01832,,0.622,
"Trampush et al. (2014) (Bent and Waite, 2013)","Otter River at Otter River, MA",0.033377909,0.0049,0.048,,0.539,
"Trampush et al. (2014) (Bent and Waite, 2013)","North River at Shattuckville, MA",0.069730062,0.0052,0.06695,,1.481,
"Trampush et al. (2014) (Bent and Waite, 2013)","South River near Conway, MA",0.128459138,0.0052,0.03021,,1.231,
"Trampush et al. (2014) (Bent and Waite, 2013)","Green River near Colrain, MA",0.047619869,0.0075,0.09281,,0.972,
"Trampush et al. (2014) (Bent and Waite, 2013)","Mill River at Northhampton, MA",0.147847208,0.0038,0.01695,,1.088,
"Trampush et al. (2014) (Bent and Waite, 2013)","Sevenmile River near Spencer, MA",0.042433412,0.0053,0.03807,,0.503,
"Trampush et al. (2014) (Bent and Waite, 2013)","Quaboag River at West Brimfield, MA",0.016313735,0.0025,0.07615,,0.82,
"Trampush et al. (2014) (Bent and Waite, 2013)","West Branch Westfield River at Huntington, MA",0.030099,0.0066,0.128,,0.963,
"Trampush et al. (2014) (Bent and Waite, 2013)","Stony Brook near West Suffield, CT",0.027707787,0.0064,0.07083,,0.506,
"Trampush et al. (2014) (Bent and Waite, 2013)","Hubbard River near West Hartland, CT",0.055633328,0.0236,0.17945,,0.698,
"Trampush et al. (2014) (Bent and Waite, 2013)","Salmon Creek at Lime Rock, CT",0.012970609,0.0034,0.11912,,0.75,
"Trampush et al. (2014) (Bent and Waite, 2013)","Green River at Williamstown, MA",0.102545967,0.0107,0.05956,,0.942,
"Trampush et al. (2014) (Mueller et al., 2005)","St. Louis Creek nr Fraser, CO",0.005311005,0.0018,0.076,,0.37,
"Trampush et al. (2014) (Stillwater Sciences, 2010)","Sespe Creek nr Fillmore, CA",0.267272727,0.009,0.07,,3.43,
"Trampush et al. (2014) (Minear and Wright, 2013)","Merced River at Happy Isles Bridge nr Yosemite, CA",0.25,0.011,0.064,,2.4,
"Trampush et al. (2014) (Mueller et al., 2005; Jones and Seitz, 1980)","Snake River nr Anatone, WA",0.057463524,0.001,0.054,,5.12,
"Trampush et al. (2014) (Mueller et al., 2005; Jones and Seitz, 1980)","Clearwater River at Spalding, ID",0.012948403,0.0003,0.074,,5.27,
"Trampush et al. (2014) (O'Connor et al., 2014)","Wilson River nr Tillamook, OR",0.012242828,0.000471,0.045,,1.93,
"Trampush et al. (2014) (O'Connor et al., 2014)","South Umpqua River at Tiller, OR",0.148150045,0.0034,0.0301,,2.16408,
"Trampush et al. (2014) (Castro and Jackson, 2001; O'Connor et al., 2014)","South Umpqua River nr Brockway, OR",0.022145368,0.000674,0.0506,,2.7432,
"Trampush et al. (2014) (O'Connor et al., 2014)","North Umpqua River at Winchester, OR",0.010622353,0.000489,0.0558,,2,
"Trampush et al. (2014) (Castro and Jackson, 2001; O'Connor et al., 2014)","Rogue River nr Agness, OR",0.06540344,0.0011,0.0407,,3.99288,
"Trampush et al. (2014) (O'Connor et al., 2014; Wallick et al., 2009)","Chetco River nr Brookings, OR",0.112441671,0.0014,0.03773,,5,
Trampush et al. (2014) (Boise Adjudication team),"Bruneau River at Rowland, NV",0.076469697,0.0049,0.04,,1.03,
Trampush et al. (2014) (Boise Adjudication team),"Jarbidge River below Jarbidge, NV",0.073329985,0.015,0.0905,,0.73,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Boise River near Twin Springs, ID",0.041818182,0.0038,0.076,,1.38,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","South Fork Payette River at Lowman, ID",0.020936639,0.004,0.11,,0.95,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Valley Creek at Stanley, ID",0.050272727,0.0042,0.04,,0.79,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Salmon River below Yankee Fork near Clayton, ID",0.036060606,0.0034,0.104,,1.82,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Thompson Creek near Clayton, ID",0.049354839,0.0153,0.062,,0.33,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Squaw Creek below Bruno Creek near Clayton, ID",0.057971014,0.01,0.046,,0.44,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Salmon River near Shoup, ID",0.022190657,0.0019,0.096,,1.85,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Middle Fork Salmon River at Middle Fork Lodge near Yellow Pine, ID",0.0243379,0.0041,0.146,,1.43,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Dollar Creek near Warm Lake near Cascade, ID",0.049413617,0.0146,0.077,,0.43,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Blackmare Creek near Poverty Flat near Cascade, ID",0.102503826,0.0299,0.099,,0.56,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","South Fork Salmon River near Krassel Ranger Station, ID",0.068580542,0.0025,0.038,,1.72,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Johnson Creek at Yellow Pine, ID",0.012886762,0.004,0.19,,1.01,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Selway River near Lowell, ID",0.018686285,0.0021,0.173,,2.54,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","Lochsa River near Lowell, ID",0.025429975,0.0023,0.148,,2.7,
"Trampush et al. (2014) (King et al., 2004; Mueller et al., 2005)","North Fork Clearwater River near Canyon Ranger Station, ID",0.008867624,0.0005,0.095,,2.78,
"Trampush et al. (2014) (Phillips and Scatena, 2012)","Rio Mameyes near Sabana, PR",0.065829346,0.013,0.152,,1.27,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Tenmile River near Gaylordsville, CT",0.038035528,0.002,0.058928,,1.85,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Manor Kill at West Conesville near Gilboa, NY",0.219308701,0.11,0.213106,,0.7,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Platter Kill at Gilboa, NY",1.224489796,0.35,0.087122,,0.5,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Valatie Kill near Nassau, NY",0.031168831,0.002,0.024892,,0.64,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Esopus Creek at Cold Brook, NY",0.036070381,0.005,0.15748,,1.87,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Chestnut Creek at Grahamsville, NY",0.084667571,0.012,0.068072,,0.79,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Horse Pound Brook near Lake Carmel, NY",0.087924016,0.009,0.034036,,0.55,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Ramapo River at Ramap, NY",0.029003021,0.004,0.084074,,1.01,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Mahwah River near Suffern, NY",0.051878788,0.002,0.01905,,0.82,
"Trampush et al. (2014) (Mulvihil et al., 2009)","East Branch of Delaware River at Margaretville, NY",0.015026296,0.001,0.061468,,1.52,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Platte Kill near Dunraven, NY",0.053008216,0.01,0.087122,,0.76,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Tremper Kill near Andes, NY",0.041200179,0.01,0.103124,,0.7,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Little Delaware River near Delhi, NY",0.118787879,0.004,0.02032,,1,
"Trampush et al. (2014) (Mulvihil et al., 2009)","West Branch Delaware River at Walton, NY",0.017613636,0.001,0.048768,,1.42,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Biscuit Brook above Pigeon Brook at Frost Valley, NY",0.050296505,0.021,0.133688667,,0.53,
"Trampush et al. (2014) (Mulvihil et al., 2009)","Neversink River near Claryville, NY",0.023789295,0.005,0.163068,,1.28,
"Trampush et al. (2014) (Chaplin, 2006)","Pohopoco Creek at Kresgeville, PA",0.005288872,0.001,0.0964,,0.84,
"Trampush et al. (2014) (Chaplin, 2006)","Aquashicola Creek at Palmerton, PA",0.020267648,0.004,0.0988,,0.83,
"Trampush et al. (2014) (Chaplin, 2006)","Little Lehigh Creek near Allentown, PA",0.027406259,0.001,0.0244,,1.1,
"Trampush et al. (2014) (Chaplin, 2006)","Jordan Creek near Schnecksville, PA",0.03829115,0.003,0.0453,,0.95,
"Trampush et al. (2014) (Chaplin, 2006)","Jordan Creek at Allentown, PA",0.013008282,0.001,0.0382,,0.82,
"Trampush et al. (2014) (Chaplin, 2006)","Monocacy Creek at Bethlehem, PA",0.020707862,0.003,0.0562,,0.64,
"Trampush et al. (2014) (Chaplin, 2006)","Schuylkill River at Landingville, PA",0.034953971,0.001,0.0269,,1.55,
"Trampush et al. (2014) (Chaplin, 2006)","Little Schuylkill River at Tamaqua, PA",0.028252406,0.007,0.119,,0.79,
"Trampush et al. (2014) (White, 2001)","Manatawny Creek near Pottstown, PA",0.034611355,0.001,0.0277,,1.58,
"Trampush et al. (2014) (White, 2001)","French Creek near Phoenixville, PA",0.030002685,0.004,0.0894,,1.11,
"Trampush et al. (2014) (Cinotto, 2003)","Chester Creek near Chester, PA",0.033412209,0.002,0.0481,,1.33,
"Trampush et al. (2014) (Cinotto, 2003)","West Branch Brandywine Creek near Coatesville, PA",0.091794571,0.009,0.0422,,0.71,
"Trampush et al. (2014) (Cinotto, 2003)","West Branch Brandywine Creek at Modena, PA",0.084229555,0.004,0.0243,,0.84,
"Trampush et al. (2014) (Krstolic and Chaplin, 2007)","Choptank River near Greensboro, MD",0.011083636,0.0002,0.011,,1.01,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Big Elk Creek at Elk Mills, MD",0.063323317,0.0014,0.01797,,1.34,
"Trampush et al. (2014) (Chaplin, 2006)","Corey Creek near Mainesburg, PA",0.060456198,0.009,0.0682,,0.76,
"Trampush et al. (2014) (Williams, 1978)","Towanda Creek near Monroeton, PA",0.136323232,0.0042,0.045,,2.41,
"Trampush et al. (2014) (Chaplin, 2006)","Wapwallopen Creek nr Wapwallopen, PA",0.052381569,0.006,0.0584,,0.84,
"Trampush et al. (2014) (Chaplin, 2006)","Waldy Run near Emporium, PA",0.034311719,0.014,0.101,,0.41,
"Trampush et al. (2014) (Chaplin, 2006)","Kettle Creek at Cross Fork, PA",0.010680031,0.002,0.119,,1.05,
"Trampush et al. (2014) (Chaplin, 2006)","Young Womans Creek near Renovo, PA",0.036045103,0.009,0.119,,0.79,
"Trampush et al. (2014) (Chaplin, 2006)","Spring Creek near Houserville, PA",0.017012433,0.002,0.0506,,0.71,
"Trampush et al. (2014) (Chaplin, 2006)","Spring Creek near Axemann, PA",0.023784627,0.004,0.0699,,0.69,
"Trampush et al. (2014) (Chaplin, 2006)","Spring Creek near Milesburg, PA",0.045877323,0.001,0.0182,,1.38,
"Trampush et al. (2014) (Chaplin, 2006)","Marsh Creek at Blanchard, PA",0.036328114,0.006,0.0778,,0.78,
"Trampush et al. (2014) (Chaplin, 2006)","Blockhouse Creek near English Center, PA",0.044388678,0.006,0.0819,,1,
"Trampush et al. (2014) (Chaplin, 2006)","Lycoming Creek near Trout Run, PA",0.01595877,0.003,0.133,,1.17,
"Trampush et al. (2014) (Chaplin, 2006)","Muncy Creek near Sonestown, PA",0.051402372,0.01,0.115,,0.98,
"Trampush et al. (2014) (Chaplin, 2006)","Chillisquaque Creek at Washingtonville, PA",0.014602946,0.001,0.0506,,1.22,
"Trampush et al. (2014) (Chaplin, 2006)","East Mahantango Creek near Dalmatia, PA",0.038214288,0.002,0.0495,,1.56,
"Trampush et al. (2014) (Chaplin, 2006)","Kishacoquillas Creek at Reedsville, PA",0.029248485,0.006,0.18,,1.45,
"Trampush et al. (2014) (Chaplin, 2006)","Tuscarora Creek near Port Royal, PA",0.019458363,0.001,0.0581,,1.87,
"Trampush et al. (2014) (Chaplin, 2006)","Sherman Creek at Shermans Dale, PA",0.013102748,0.001,0.0516,,1.12,
"Trampush et al. (2014) (Chaplin, 2006)","Yellow Breeches Creek near Camp Hill, PA",0.041443162,0.001,0.023,,1.57,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Deer Creek at Rocks, MD",0.095759358,0.0021,0.01904,,1.43,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Little Falls at Blue Mount, MD",0.091821191,0.0019,0.01873,,1.49,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Baisman Run at Broadmoor, MD",0.530578861,0.016,0.00947,,0.52,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Long Green Creek at Glen Arm, MD",0.04360515,0.0165,0.13281,,0.58,
"Trampush et al. (2014) (Cinotto, 2003)","Beaver Run near Finksburg, MD",0.104265038,0.006,0.0253,,0.73,
"Trampush et al. (2014) (Cinotto, 2003)","Morgan Run near Louisville, MD",0.075806599,0.004,0.027,,0.84,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Patuxent River near Unity, MD",0.108065455,0.0021,0.014,,1.19,
"Trampush et al. (2014) (McCandless, 2003)","NB Potomac River at Steyer, MD",0.034306494,0.003,0.084,,1.58,
"Trampush et al. (2014) (McCandless, 2003)","Savage River near Barton, MD",0.008487469,0.003,0.222,,1.04,
"Trampush et al. (2014) (Keaton et al., 2005)","Wills Creek near Cumberland, MD",0.020473939,0.0035,0.12,,1.16,
"Trampush et al. (2014) (Keaton et al., 2005)","South Branch Potomac River at Franklin, WV",0.040101959,0.0052,0.103,,1.31,
"Trampush et al. (2014) (Keaton et al., 2005)","South Fork South Branch Potomac River at Brandywine, WV",0.020167473,0.0035,0.109,,1.04,
"Trampush et al. (2014) (Keaton et al., 2005)","Town Creek near Oldtown, MD",0.039136494,0.0028,0.0489,,1.13,
"Trampush et al. (2014) (McCandless, 2003)","Sideling Hill Creek near Bellegrove, MD",0.070993226,0.004,0.051,,1.49,
"Trampush et al. (2014) (Chaplin, 2006)","Tonoloway Creek near Needmore, PA",0.044767782,0.008,0.0614,,0.57,
"Trampush et al. (2014) (Keaton et al., 2005)","Hogue Creek near Hayfield, VA",0.053545202,0.0054,0.0503,,0.82,
"Trampush et al. (2014) (Keaton et al., 2005)","Marsh Run at Grimes, MD",0.097746418,0.0047,0.0151,,0.52,
"Trampush et al. (2014) (Keaton et al., 2005)","North River near Stokesville, VA",0.040708418,0.0119,0.108,,0.61,
"Trampush et al. (2014) (Keaton et al., 2005)","South River at Harriston, VA",0.032439911,0.0048,0.123,,1.37,
"Trampush et al. (2014) (Keaton et al., 2005)","North Fork Shenandoah River at Cootes Store, VA",0.0296623,0.0016,0.0558,,1.71,
"Trampush et al. (2014) (Keaton et al., 2005)","Linville Creek at Broadway, VA",0.070532231,0.0027,0.0198,,0.85,
"Trampush et al. (2014) (Keaton et al., 2005)","Smith Creek near New Market, VA",0.087218265,0.0022,0.0219,,1.43,
"Trampush et al. (2014) (Keaton et al., 2005)","Cedar Creek near Winchester, VA",0.077372092,0.0026,0.0329,,1.62,
"Trampush et al. (2014) (Keaton et al., 2005)","Passage Creek near Buckton, VA",0.071895315,0.0124,0.137,,1.31,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Piney Creek at Taneytown, MD",0.120695261,0.0025,0.01454,,1.16,
"Trampush et al. (2014) (White, 2001)","Big Pipe Creek at Bruceville, MD",0.05047013,0.001,0.0224,,1.87,
"Trampush et al. (2014) (McCandless and Everett, 2002)","Bennett Creek at Park Mills, MD",0.099393081,0.0019,0.01695,,1.46,
"Trampush et al. (2014) (Lotspeich, 2009)","South Fork Quantico Creek near Independent Hill, VA",0.030660128,0.002,0.0241,,0.61,
"Trampush et al. (2014) (Lotspeich, 2009)","Aquia Creek near Garrisonville, VA",0.054331551,0.005,0.0578,,1.04,
"Trampush et al. (2014) (Keaton et al., 2005)","Jackson River near Bacova, VA",0.023555827,0.0038,0.149,,1.52,
"Trampush et al. (2014) (Keaton et al., 2005)","Dunlap Creek near Covington, VA",0.037480896,0.0035,0.0828,,1.46,
"Trampush et al. (2014) (Keaton et al., 2005)","Potts Creek near Covington, VA",0.040158103,0.0022,0.0506,,1.52,
